Date,Open,High,Low,Close,Adj Close,Volume
2015/2/2,17.502501,18.25,17.5005,18.223499,18.223499,204638000
2015/2/3,18.0145,18.391001,18.0105,18.1775,18.1775,124252000
2015/2/4,17.919001,18.375,17.911501,18.237499,18.237499,83398000
2015/2/5,18.299999,18.940001,18.295,18.6945,18.6945,144952000
2015/2/6,18.7435,18.7995,18.550501,18.714001,18.714001,77848000
2015/2/9,18.549999,18.720501,18.360001,18.528,18.528,54492000
2015/2/10,18.5595,18.715,18.425501,18.65,18.65,45744000
2015/2/11,18.561501,18.855,18.555,18.757,18.757,55730000
2015/2/12,18.754999,18.925501,18.657499,18.8585,18.8585,55822000
2015/2/13,18.9205,19.15,18.8505,19.091499,19.091499,69502000
2015/2/17,18.886,18.9995,18.633499,18.7715,18.7715,73464000
2015/2/18,18.688999,18.837,18.6425,18.668501,18.668501,53012000
2015/2/19,18.6745,19.094,18.671499,18.950001,18.950001,59076000
2015/2/20,18.931,19.184999,18.792,19.183001,19.183001,65160000
2015/2/23,19.172001,19.226999,18.9,19.007,19.007,43540000
2015/2/24,18.932501,19.024,18.808001,18.929501,18.929501,38416000
2015/2/25,18.863501,19.3925,18.827,19.268499,19.268499,63490000
2015/2/26,19.203501,19.4685,19.164,19.24,19.24,53742000
2015/2/27,19.200001,19.2995,18.9895,19.007999,19.007999,50646000
2015/3/2,19.0425,19.295,18.974001,19.283001,19.283001,42784000
2015/3/3,19.1975,19.305,19.08,19.230499,19.230499,38930000
2015/3/4,19.2855,19.395,19.109501,19.136,19.136,45182000
2015/3/5,19.2805,19.421,19.1945,19.3915,19.3915,53870000
2015/3/6,19.275999,19.35,18.944,19.004499,19.004499,52540000
2015/3/9,18.92,18.966499,18.764,18.927999,18.927999,46228000
2015/3/10,18.872499,18.8885,18.459,18.4755,18.4755,62420000
2015/3/11,18.5305,18.6675,18.313,18.318501,18.318501,49902000
2015/3/12,18.441,18.775,18.375999,18.712,18.712,56200000
2015/3/13,18.576,18.699499,18.334,18.528999,18.528999,52234000
2015/3/16,18.518999,18.697001,18.336,18.6675,18.6675,47082000
2015/3/17,18.5555,18.725,18.482,18.596001,18.596001,40740000
2015/3/18,18.498501,18.7995,18.334999,18.757,18.757,53082000
2015/3/19,18.693501,18.855499,18.609501,18.662001,18.662001,38314000
2015/3/20,18.814501,18.9685,18.796,18.9245,18.9245,75272000
2015/3/23,18.9035,19.088499,18.747,18.755501,18.755501,44786000
2015/3/24,18.699499,18.761999,18.613501,18.7045,18.7045,44564000
2015/3/25,18.758499,19.025,18.5145,18.548,18.548,68590000
2015/3/26,18.4795,18.57,18.282499,18.3675,18.3675,58600000
2015/3/27,18.355499,18.658501,18.328501,18.528,18.528,52196000
2015/3/30,18.5935,18.806,18.577499,18.7295,18.7295,36418000
2015/3/31,18.662001,18.885,18.5755,18.605,18.605,50122000
2015/4/1,18.605,18.658001,18.417,18.513,18.513,49162000
2015/4/2,18.525,18.664,18.450001,18.612499,18.612499,37506000
2015/4/6,18.504999,19.01,18.468,18.851999,18.851999,61014000
2015/4/7,18.807501,18.9655,18.7015,18.720501,18.720501,39098000
2015/4/8,18.733,19.079,18.7325,19.059999,19.059999,52728000
2015/4/9,19.033001,19.221001,18.940001,19.177,19.177,47846000
2015/4/10,19.2155,19.356001,19.066,19.1325,19.1325,51470000
2015/4/13,19.1765,19.264,19.007,19.118,19.118,37890000
2015/4/14,19.175501,19.390499,19.060499,19.255501,19.255501,51672000
2015/4/15,19.2325,19.289,19.082001,19.172501,19.172501,38664000
2015/4/16,19.1845,19.372499,19.1775,19.302,19.302,41608000
2015/4/17,19.1315,19.177999,18.719999,18.778,18.778,76794000
2015/4/20,18.9275,19.597,18.85,19.4755,19.4755,100322000
2015/4/21,19.5655,19.73,19.34,19.559,19.559,92870000
2015/4/22,19.595501,19.714001,19.4,19.49,19.49,69494000
2015/4/23,19.5105,19.594,19.307501,19.4995,19.4995,159600000
2015/4/24,21.950001,22.6325,21.950001,22.254999,22.254999,343538000
2015/4/27,22.193001,22.349501,21.870501,21.927999,21.927999,108618000
2015/4/28,21.925501,21.950001,21.402,21.4655,21.4655,82810000
2015/4/29,21.3375,21.712,21.3015,21.4685,21.4685,72434000
2015/4/30,21.355499,21.5875,20.962,21.089001,21.089001,72958000
2015/5/1,21.191,21.282,20.799999,21.143499,21.143499,71316000
2015/5/4,21.24,21.488501,21.121,21.152,21.152,45408000
2015/5/5,21.1425,21.3755,21.051001,21.0595,21.0595,57128000
2015/5/6,21.071501,21.136,20.727501,20.955,20.955,51050000
2015/5/7,21.2075,21.424999,21.1425,21.344,21.344,55322000
2015/5/8,21.5375,21.76,21.508499,21.6845,21.6845,58176000
2015/5/11,21.6255,21.950001,21.568501,21.6425,21.6425,47874000
2015/5/12,21.554001,21.6625,21.335501,21.551001,21.551001,38956000
2015/5/13,21.499001,21.6765,21.290001,21.3435,21.3435,39926000
2015/5/14,21.4725,21.65,21.3505,21.614,21.614,37770000
2015/5/15,21.4,21.52,21.215,21.299999,21.299999,84806000
2015/5/18,21.299999,21.363501,21.073,21.261999,21.261999,47804000
2015/5/19,21.2435,21.412001,21.0315,21.085501,21.085501,49284000
2015/5/20,21.030001,21.355,20.917999,21.193001,21.193001,43924000
2015/5/21,21.4,21.844999,21.4,21.581499,21.581499,82428000
2015/5/22,21.577499,21.622,21.380501,21.3815,21.3815,40412000
2015/5/26,21.309999,21.35,21.1,21.2735,21.2735,44884000
2015/5/27,21.372499,21.592501,21.2505,21.570999,21.570999,44622000
2015/5/28,21.4855,21.567499,21.2735,21.328501,21.328501,38248000
2015/5/29,21.3615,21.625,21.3615,21.4615,21.4615,60322000
